"STATISTIC","STATISTIC Label","TLIST(M1)","Month","DIRECT","Direction","TYPASS","Type of Passenger Movement","UNIT","VALUE"
"TRBM1","Passenger Movement","196103","1961M03","01","Arriving in Eire","01","Passenger Movement by Sea to All Countries","Number","33667"
"TRBM1","Passenger Movement","196103","1961M03","01","Arriving in Eire","011","Passenger Movement by Sea to Great Britain","Number","33359"
"TRBM1","Passenger Movement","196103","1961M03","01","Arriving in Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","308"
"TRBM1","Passenger Movement","196103","1961M03","01","Arriving in Eire","02","Passenger Movement Cross-Border Rail","Number","16200"
"TRBM1","Passenger Movement","196103","1961M03","01","Arriving in Eire","03","Passenger Movement Cross-Border Bus","Number","40767"
"TRBM1","Passenger Movement","196103","1961M03","01","Arriving in Eire","04","Passenger Movement by Air from All Airports","Number","26536"
"TRBM1","Passenger Movement","196103","1961M03","01","Arriving in Eire","041","Passenger Movement by Air from Dublin Airport","Number","23978"
"TRBM1","Passenger Movement","196103","1961M03","01","Arriving in Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196103","1961M03","01","Arriving in Eire","043","Passenger Movement by Air from Shannon Airport","Number","2558"
"TRBM1","Passenger Movement","196103","1961M03","01","Arriving in Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","1696"
"TRBM1","Passenger Movement","196103","1961M03","01","Arriving in Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","862"
"TRBM1","Passenger Movement","196103","1961M03","02","Departing Eire","01","Passenger Movement by Sea to All Countries","Number","27749"
"TRBM1","Passenger Movement","196103","1961M03","02","Departing Eire","011","Passenger Movement by Sea to Great Britain","Number","27522"
"TRBM1","Passenger Movement","196103","1961M03","02","Departing Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","227"
"TRBM1","Passenger Movement","196103","1961M03","02","Departing Eire","02","Passenger Movement Cross-Border Rail","Number","16116"
"TRBM1","Passenger Movement","196103","1961M03","02","Departing Eire","03","Passenger Movement Cross-Border Bus","Number","39821"
"TRBM1","Passenger Movement","196103","1961M03","02","Departing Eire","04","Passenger Movement by Air from All Airports","Number","23420"
"TRBM1","Passenger Movement","196103","1961M03","02","Departing Eire","041","Passenger Movement by Air from Dublin Airport","Number","20344"
"TRBM1","Passenger Movement","196103","1961M03","02","Departing Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196103","1961M03","02","Departing Eire","043","Passenger Movement by Air from Shannon Airport","Number","3076"
"TRBM1","Passenger Movement","196103","1961M03","02","Departing Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","706"
"TRBM1","Passenger Movement","196103","1961M03","02","Departing Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2370"
"TRBM1","Passenger Movement","196104","1961M04","01","Arriving in Eire","01","Passenger Movement by Sea to All Countries","Number","36575"
"TRBM1","Passenger Movement","196104","1961M04","01","Arriving in Eire","011","Passenger Movement by Sea to Great Britain","Number","36006"
"TRBM1","Passenger Movement","196104","1961M04","01","Arriving in Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","569"
"TRBM1","Passenger Movement","196104","1961M04","01","Arriving in Eire","02","Passenger Movement Cross-Border Rail","Number","15345"
"TRBM1","Passenger Movement","196104","1961M04","01","Arriving in Eire","03","Passenger Movement Cross-Border Bus","Number","39702"
"TRBM1","Passenger Movement","196104","1961M04","01","Arriving in Eire","04","Passenger Movement by Air from All Airports","Number","30443"
"TRBM1","Passenger Movement","196104","1961M04","01","Arriving in Eire","041","Passenger Movement by Air from Dublin Airport","Number","27338"
"TRBM1","Passenger Movement","196104","1961M04","01","Arriving in Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196104","1961M04","01","Arriving in Eire","043","Passenger Movement by Air from Shannon Airport","Number","3105"
"TRBM1","Passenger Movement","196104","1961M04","01","Arriving in Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","1747"
"TRBM1","Passenger Movement","196104","1961M04","01","Arriving in Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","1358"
"TRBM1","Passenger Movement","196104","1961M04","02","Departing Eire","01","Passenger Movement by Sea to All Countries","Number","43877"
"TRBM1","Passenger Movement","196104","1961M04","02","Departing Eire","011","Passenger Movement by Sea to Great Britain","Number","43441"
"TRBM1","Passenger Movement","196104","1961M04","02","Departing Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","436"
"TRBM1","Passenger Movement","196104","1961M04","02","Departing Eire","02","Passenger Movement Cross-Border Rail","Number","14874"
"TRBM1","Passenger Movement","196104","1961M04","02","Departing Eire","03","Passenger Movement Cross-Border Bus","Number","40823"
"TRBM1","Passenger Movement","196104","1961M04","02","Departing Eire","04","Passenger Movement by Air from All Airports","Number","32752"
"TRBM1","Passenger Movement","196104","1961M04","02","Departing Eire","041","Passenger Movement by Air from Dublin Airport","Number","29677"
"TRBM1","Passenger Movement","196104","1961M04","02","Departing Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196104","1961M04","02","Departing Eire","043","Passenger Movement by Air from Shannon Airport","Number","3075"
"TRBM1","Passenger Movement","196104","1961M04","02","Departing Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","964"
"TRBM1","Passenger Movement","196104","1961M04","02","Departing Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2111"
"TRBM1","Passenger Movement","196105","1961M05","01","Arriving in Eire","01","Passenger Movement by Sea to All Countries","Number","46212"
"TRBM1","Passenger Movement","196105","1961M05","01","Arriving in Eire","011","Passenger Movement by Sea to Great Britain","Number","44710"
"TRBM1","Passenger Movement","196105","1961M05","01","Arriving in Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","1502"
"TRBM1","Passenger Movement","196105","1961M05","01","Arriving in Eire","02","Passenger Movement Cross-Border Rail","Number","19112"
"TRBM1","Passenger Movement","196105","1961M05","01","Arriving in Eire","03","Passenger Movement Cross-Border Bus","Number","43598"
"TRBM1","Passenger Movement","196105","1961M05","01","Arriving in Eire","04","Passenger Movement by Air from All Airports","Number","38424"
"TRBM1","Passenger Movement","196105","1961M05","01","Arriving in Eire","041","Passenger Movement by Air from Dublin Airport","Number","33839"
"TRBM1","Passenger Movement","196105","1961M05","01","Arriving in Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196105","1961M05","01","Arriving in Eire","043","Passenger Movement by Air from Shannon Airport","Number","4585"
"TRBM1","Passenger Movement","196105","1961M05","01","Arriving in Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","3085"
"TRBM1","Passenger Movement","196105","1961M05","01","Arriving in Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","1500"
"TRBM1","Passenger Movement","196105","1961M05","02","Departing Eire","01","Passenger Movement by Sea to All Countries","Number","43925"
"TRBM1","Passenger Movement","196105","1961M05","02","Departing Eire","011","Passenger Movement by Sea to Great Britain","Number","43512"
"TRBM1","Passenger Movement","196105","1961M05","02","Departing Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","413"
"TRBM1","Passenger Movement","196105","1961M05","02","Departing Eire","02","Passenger Movement Cross-Border Rail","Number","18953"
"TRBM1","Passenger Movement","196105","1961M05","02","Departing Eire","03","Passenger Movement Cross-Border Bus","Number","43981"
"TRBM1","Passenger Movement","196105","1961M05","02","Departing Eire","04","Passenger Movement by Air from All Airports","Number","35922"
"TRBM1","Passenger Movement","196105","1961M05","02","Departing Eire","041","Passenger Movement by Air from Dublin Airport","Number","32088"
"TRBM1","Passenger Movement","196105","1961M05","02","Departing Eire","042","Passenger Movement by Air from Cork Airport","Number","0"
"TRBM1","Passenger Movement","196105","1961M05","02","Departing Eire","043","Passenger Movement by Air from Shannon Airport","Number","3834"
"TRBM1","Passenger Movement","196105","1961M05","02","Departing Eire","0431","Passenger Movement by Air from Shannon Airport (Eastbound)","Number","1174"
"TRBM1","Passenger Movement","196105","1961M05","02","Departing Eire","0432","Passenger Movement by Air from Shannon Airport (Westbound)","Number","2660"
"TRBM1","Passenger Movement","196106","1961M06","01","Arriving in Eire","01","Passenger Movement by Sea to All Countries","Number","74702"
"TRBM1","Passenger Movement","196106","1961M06","01","Arriving in Eire","011","Passenger Movement by Sea to Great Britain","Number","72629"
"TRBM1","Passenger Movement","196106","1961M06","01","Arriving in Eire","012","Passenger Movement by Sea to Countries Other Than Great Britain","Number","2073"
"TRBM1","Passenger Movement","196106","1961M06","01","Arriving in Eire","02","Passenger Movement Cross-Border Rail","Number","25233"
"TRBM1","Passenger Movement","196106","1961M06","01","Arriving in Eire","03","Passenger Movement Cross-Border Bus","Number","46216"
"TRBM1","Passenger Movement","196106","1961M06","01","Arriving in Eire","04","Passenger Movement by Air from All Airports","Number","58312"
"TRBM1","Passenger Movement","196106","1961M06","01","Arriving in Eire","041","Passenger Movement by Air from Dublin Airport","Number","47790"
